LJ040-0125|Truancy charges were brought against him alleging that he was, quote, beyond the control of his mother insofar as school attendance is concerned, end quote.|Truancy charges were brought against him alleging that he was, quote, beyond the control of his mother insofar as school attendance is concerned, end quote.
LJ036-0215|He approached the car and apparently exchanged words with Tippit through the right front or vent window.|He approached the car and apparently exchanged words with Tippit through the right front or vent window.
LJ005-0003|Persons committed to a metropolitan jail at that time were taken in gangs, men and women handcuffed together, or linked on to a long chain,|Persons committed to a metropolitan jail at that time were taken in gangs, men and women handcuffed together, or linked on to a long chain,
LJ021-0207|I am not for a return to that definition of liberty under which for many years a free people were being gradually regimented|I am not for a return to that definition of liberty under which for many years a free people were being gradually regimented
LJ034-0070|During the morning of November 22, Givens was working with the floor-laying crew in the southwest section of the sixth floor.|During the morning of November twenty-two, Givens was working with the floor-laying crew in the southwest section of the sixth floor.
LJ013-0260|Good himself remained at large for some weeks. He had tramped as far as Tunbridge, where he obtained work as a bricklayer's laborer;|Good himself remained at large for some weeks. He had tramped as far as Tunbridge, where he obtained work as a bricklayer's laborer;
LJ013-0189|next, and in the same place, a chased gold key;|next, and in the same place, a chased gold key;
LJ025-0029|while the atmosphere and the earth supply plants with juices ready prepared and which can be absorbed immediately.|while the atmosphere and the earth supply plants with juices ready prepared and which can be absorbed immediately.
LJ019-0389|passed under the more direct control of the State.|passed under the more direct control of the State.
LJ032-0119|but only after Day viewed the knob on the bolt through a magnifying glass and found no prints.|but only after Day viewed the knob on the bolt through a magnifying glass and found no prints.
LJ002-0018|The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,|The inadequacy of the jail was noticed and reported upon again and again by the grand juries of the city of London,
LJ002-0150|Costs were the gallons of sack to the pennyworth of debt.|Costs were the gallons of sack to the pennyworth of debt.
LJ007-0168|"We cannot close these remarks," say the inspectors, "without an expression of the painful feelings with which we submit to your Lordship|"We cannot close these remarks," say the inspectors, "without an expression of the painful feelings with which we submit to your Lordship
LJ017-0082|He fixed upon a sporting friend, Mr. John Parsons Cook, who had been in luck at Shrewsbury races, both as a winner and a backer,|He fixed upon a sporting friend, Mr. John Parsons Cook, who had been in luck at Shrewsbury races, both as a winner and a backer,
LJ050-0121|Detailed formal agreements embodying these arrangements should be worked out between the Secret Service and both of these agencies.|Detailed formal agreements embodying these arrangements should be worked out between the Secret Service and both of these agencies.
LJ016-0096|They were penal servitude men, their names Bell, Brown, and Barry, and they were awaiting transfer to Leicester,|They were penal servitude men, their names Bell, Brown, and Barry, and they were awaiting transfer to Leicester,
LJ019-0004|Elsewhere the spirit had been more or less active, although not uniformly or always to the same extent.|Elsewhere the spirit had been more or less active, although not uniformly or always to the same extent.
LJ023-0136|In many states judges must retire at the age of seventy.|In many states judges must retire at the age of seventy.
LJ045-0192|apparently will loop through the downtown area, probably on Main Street,|apparently will loop through the downtown area, probably on Main Street,
LJ006-0134|The governor himself admitted that a prisoner of weak intellect who had been severely beaten and much injured by a wardsman did not dare complain|The governor himself admitted that a prisoner of weak intellect who had been severely beaten and much injured by a wardsman did not dare complain
LJ047-0078|and Hosty asked the New Orleans FBI office to determine Oswald's address and what he was doing.|and Hosty asked the New Orleans FBI office to determine Oswald's address and what he was doing.
LJ015-0208|they sounded one Burgess, a guard on the South-Eastern Railway, a line by which large quantities of bullion were sent to the Continent.|they sounded one Burgess, a guard on the South-Eastern Railway, a line by which large quantities of bullion were sent to the Continent.
LJ028-0502|The Ishtar gateway leading to the palace was encased with beautiful blue glazed bricks,|The Ishtar gateway leading to the palace was encased with beautiful blue glazed bricks,
LJ018-0379|Resolute, determined-looking men, their courage broke down in confinement.|Resolute, determined-looking men, their courage broke down in confinement.
LJ015-0061|They both reproduced many of the features of the case of Watts, already described,|They both reproduced many of the features of the case of Watts, already described,
LJ011-0018|The crime, long carried on without detection, was first discovered in 1820,|The crime, long carried on without detection, was first discovered in eighteen twenty,
LJ030-0204|Special Agent Hill was scanning the few people standing on the south side of Elm Street after the motorcade had turned off Houston Street.|Special Agent Hill was scanning the few people standing on the south side of Elm Street after the motorcade had turned off Houston Street.
LJ005-0056|It is interesting to observe that the plan of "radiation," by which the prison blocks radiated from a central hall, like spokes in a wheel|It is interesting to observe that the plan of "radiation," by which the prison blocks radiated from a central hall, like spokes in a wheel
LJ039-0228|Concerning the shots which struck the President in the back of the neck,|Concerning the shots which struck the President in the back of the neck,
LJ013-0218|His last statement contains the words, "The public now think I am a liar, and they will not believe me when I say the truth."|His last statement contains the words, "The public now think I am a liar, and they will not believe me when I say the truth."
LJ022-0131|If you will help, this can be done.|If you will help, this can be done.
LJ032-0256|Marina Oswald was looking in the garage for parts to the baby's crib and thought that the parts might be in the blanket.|Marina Oswald was looking in the garage for parts to the baby's crib and thought that the parts might be in the blanket.
LJ003-0123|The most trifling acts were magnified into offenses.|The most trifling acts were magnified into offenses.
LJ048-0025|and had told Mrs. Paine that when he got the money he was going to take an apartment, when the baby was old enough, he was going to take an apartment, and the family would live together.|and had told Mrs. Paine that when he got the money he was going to take an apartment, when the baby was old enough, he was going to take an apartment, and the family would live together.
LJ049-0124|In addition, the proposed legislation will insure|In addition, the proposed legislation will insure
LJ046-0175|If PRS concludes after investigation|If PRS concludes after investigation
LJ014-0188|Pushing the shop-door open, he saw Marley finishing his murderous assault.|Pushing the shop-door open, he saw Marley finishing his murderous assault.
LJ018-0225|but after the funeral William Roupell produced another and a later will,|but after the funeral William Roupell produced another and a later will,
LJ050-0031|that the Secret Service consciously set about the task of inculcating and maintaining the highest standard of excellence and esprit, for all of its personnel.|that the Secret Service consciously set about the task of inculcating and maintaining the highest standard of excellence and esprit, for all of its personnel.
LJ013-0090|But when the latter was filled with gold it was too heavy to lift,|But when the latter was filled with gold it was too heavy to lift,
LJ038-0302|(3) the testimony of firearms identification experts, and (4) the testimony of Marina Oswald,|(three) the testimony of firearms identification experts, and (four) the testimony of Marina Oswald,
LJ016-0005|Year after year prisoners determined to get free, and occasionally succeeded in their efforts.|Year after year prisoners determined to get free, and occasionally succeeded in their efforts.
LJ016-0256|It was thought that capital punishment would lose its deterrent effect if it ceased to be public,|It was thought that capital punishment would lose its deterrent effect if it ceased to be public,
LJ016-0035|the wall beneath and above it was "rusticated," in other words, the granite surface had become roughened, and offered a sort of foothold.|the wall beneath and above it was "rusticated," in other words, the granite surface had become roughened, and offered a sort of foothold.
LJ036-0083|and told Captain Fritz that Oswald was the man he saw.|and told Captain Fritz that Oswald was the man he saw.
LJ045-0210|Now it appeared that he was not welcome at the Paine home,|Now it appeared that he was not welcome at the Paine home,
LJ011-0055|Edmund Angelini, to take Fauntleroy's place.|Edmund Angelini, to take Fauntleroy's place.
LJ011-0105|His defense was that the forged acceptances would have been met on coming to maturity, and that he had no real desire to defraud.|His defense was that the forged acceptances would have been met on coming to maturity, and that he had no real desire to defraud.
LJ017-0053|there was certainly nothing in it which indicated cruel cunning or deliberate truculence.|there was certainly nothing in it which indicated cruel cunning or deliberate truculence.
LJ028-0019|The stars come out one by one and shine brighter than elsewhere as if to light you on your way.|The stars come out one by one and shine brighter than elsewhere as if to light you on your way.
LJ008-0165|Here a couple of piemen had been selling their wares; the basket of one of them, which was raised upon a four-legged stool, was upset.|Here a couple of piemen had been selling their wares; the basket of one of them, which was raised upon a four-legged stool, was upset.
LJ002-0134|The County Court was the sheriff's, who sat there surrounded by the bishop and the magnates of the county;|The County Court was the sheriff's, who sat there surrounded by the bishop and the magnates of the county;
LJ030-0218|the right rear tail, when she noticed that I was trying to climb on the car.|the right rear tail, when she noticed that I was trying to climb on the car.
LJ048-0286|Nor is this goal served when agents remain out until early morning hours, and lose the opportunity to get a reasonable amount of sleep.|Nor is this goal served when agents remain out until early morning hours, and lose the opportunity to get a reasonable amount of sleep.
LJ027-0160|that the embryo or larva of a frog or toad, when first hatched, is a legless, tail-swimming, water-breathing, gill-breathing animal.|that the embryo or larva of a frog or toad, when first hatched, is a legless, tail-swimming, water-breathing, gill-breathing animal.
LJ036-0054|When Oswald was arrested in the Texas Theatre, he was wearing a brown sport shirt with a hole in the right sleeve at the elbow.|When Oswald was arrested in the Texas Theatre, he was wearing a brown sport shirt with a hole in the right sleeve at the elbow.
LJ003-0061|No beds were issued, only two rugs per prisoner.|No beds were issued, only two rugs per prisoner.
LJ030-0237|So I turned around and hit the Vice President on the shoulder and hollered, get down,|So I turned around and hit the Vice President on the shoulder and hollered, get down,
LJ048-0096|In the case of Dallas, because President Kennedy had scheduled visits to five Texas cities|In the case of Dallas, because President Kennedy had scheduled visits to five Texas cities
LJ014-0059|Their victim was a man named Patrick O'Connor, a Custom-House gauger, who had been a suitor of Marie de Roux before she became Mrs. Manning.|Their victim was a man named Patrick O'Connor, a Custom-House gauger, who had been a suitor of Marie de Roux before she became Mrs. Manning.
LJ027-0163|Next, it forms first one pair and then another pair of legs; and meanwhile it begins to breathe also by lungs.|Next, it forms first one pair and then another pair of legs; and meanwhile it begins to breathe also by lungs.
LJ023-0116|In our courts we want a government of laws and not of men.|In our courts we want a government of laws and not of men.
LJ048-0127|as those followed in 1936 during a trip to Dallas by President Roosevelt,|as those followed in nineteen thirty-six during a trip to Dallas by President Roosevelt,
LJ032-0158|On November 23, 1963,|On November twenty-three, nineteen sixty-three,
LJ022-0089|charged with carrying on work relief projects.|charged with carrying on work relief projects.
LJ015-0054|Police officers went down at night to Nutfield, near Reigate, and arrested Sir John Paul, but allowed the prisoner to sleep there.|Police officers went down at night to Nutfield, near Reigate, and arrested Sir John Paul, but allowed the prisoner to sleep there.
LJ015-0070|whence he passed to a better position under the Crystal Palace Company.|whence he passed to a better position under the Crystal Palace Company.
LJ015-0149|peas at ten shillings a quart, five-guinea pines, and early asparagus were to be found on his table.|peas at ten shillings a quart, five-guinea pines, and early asparagus were to be found on his table.
LJ037-0083|Barbara Jeanette and Virginia Davis viewed a group of four men in a lineup and each one picked Oswald as the man who crossed their lawn while emptying his pistol.|Barbara Jeanette and Virginia Davis viewed a group of four men in a lineup and each one picked Oswald as the man who crossed their lawn while emptying his pistol.
LJ024-0033|and that a baneful precedent will be established.|and that a baneful precedent will be established.
LJ011-0139|This time they sent back the bill, re-enacting only the two penalties for will forging and the forging of powers of attorney;|This time they sent back the bill, re-enacting only the two penalties for will forging and the forging of powers of attorney;
LJ012-0076|There was an increase rather than an abatement in jewel and bullion robberies in the years immediately following,|There was an increase rather than an abatement in jewel and bullion robberies in the years immediately following,
LJ044-0102|samples of his photographic work, offering to contribute that sort of service without charge.|samples of his photographic work, offering to contribute that sort of service without charge.
LJ018-0301|were lodged at once by drafts to "Horton," another alias, in the Continental Bank.|were lodged at once by drafts to "Horton," another alias, in the Continental Bank.
LJ001-0072|After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,|After the end of the fifteenth century the degradation of printing, especially in Germany and Italy,
LJ003-0010|wine and beer might be had in any quantity, the only limitation being|wine and beer might be had in any quantity, the only limitation being
LJ040-0219|It would be incorrect, however, to believe that those aspects of Lee's personality which were observed in New York|It would be incorrect, however, to believe that those aspects of Lee's personality which were observed in New York
LJ015-0024|but that he might strengthen it by his long experience and known business capacity.|but that he might strengthen it by his long experience and known business capacity.
LJ032-0232|The dates surrounding the taking of this picture and the purchase of the rifle|The dates surrounding the taking of this picture and the purchase of the rifle
LJ024-0087|I have thus explained to you the reasons that lie behind our efforts to secure results by legislation within the Constitution.|I have thus explained to you the reasons that lie behind our efforts to secure results by legislation within the Constitution.
LJ029-0186|Increased concern about the President's visit was aroused by the incident involving the U.S. Ambassador to the United Nations, Adlai E. Stevenson.|Increased concern about the President's visit was aroused by the incident involving the U.S. Ambassador to the United Nations, Adlai E. Stevenson.
